pid,lat,lon,euclidean_distance
p1826220,6.897502496,158.1686843,2.186392214873288
p1037026,35.775341,-106.5469957,6.883033404523915
p582382,35.77535437,-111.7618921,5.620016159864303
p1024935,35.77556841,-105.3236324,13.688922289058828
p953178,35.77641118,-82.13775618,3.3968957201911696
p954009,35.77685263,-81.97089216,7.348462566459405
p953119,35.77687939,-82.29307559,6.673740510170897
p1009786,35.77704437,-106.1576449,4.305718476905437
p1386284,35.777303,-83.51552922,14.284404472493504
p571876,35.77799416,-111.9530761,6.053201383735879
p582380,35.77888598,-111.902443,5.587604221515136
p655865,35.77897516,-93.15894615,7.9266663740875405
p1362766,35.7798982,-86.05966487,5.133012118844415
p612395,30.14008961,-91.26104126,3.339265531143404
p110531,30.14016096,-85.01707353,8.298150620550052
p611536,30.14097697,-90.45871521,2.7408905731436946
p1378451,35.78079002,-87.60822148,4.698345661305914
p1385778,35.78091041,-88.09024585,6.463428482101957
p1007419,35.78100406,-105.6647537,8.239735983075262
p582381,35.78109324,-111.8471457,5.71561550728367
p1499169,30.14148531,-99.71195633,4.042254896793607
p606340,35.7815659,-113.0086167,3.5417127848092553
p576175,35.78163725,-110.0589168,5.498090296483232
p579791,35.78203411,-113.2418499,6.681824996354112
p574146,35.7820787,-111.6600864,6.9165449535722034
p1024221,35.78213667,-105.5084399,5.867261039532977
p1039873,35.78252907,-105.7194669,3.5675881523588733
p581003,35.78263163,-111.8413667,5.410253219784528
p1034571,35.78285458,-104.2205445,9.864646045517484
p647236,35.78300173,-91.92612956,6.77282512526866
p1006377,35.78318456,-105.7727665,5.992917345758171
p1362855,35.78322469,-87.13186464,7.19841625299387
p1024222,35.78334954,-105.4287825,6.153083830595679
p1009787,35.78357696,-105.8873342,7.527069877850347
p954888,35.78362601,-79.32832186,7.746490748681838
p987427,35.78393368,-75.96234713,7.028236178864786
p1387483,35.78440189,-87.66749186,5.216087248915636
p1026953,35.78454012,-106.774236,9.76166934375219
p1378570,35.78454458,-88.249137,8.389140288673813
p1377370,35.78471403,-87.92091595,5.3117330923763255
p1378115,35.78474078,-88.29987711,6.185718603675752
p1027009,35.78478091,-106.1646055,2.4095473922717656
p607447,35.78478983,-110.1727532,9.882202677613815
p953410,35.78534276,-81.53254915,6.784852484049146
p1006797,35.78547653,-105.4373395,5.75013627472979
p653515,35.78551667,-93.0591693,8.680393857926926
p1379760,35.78583326,-89.63666209,4.5974904431205355
p1026957,35.78594474,-106.5419257,7.061518780964658
p1036332,35.78620783,-105.3297191,10.846802660893138
p1044524,35.78636389,-106.0546976,3.955913517419165
p1361161,35.7864174,-87.23261802,6.039744097847432
p569798,35.78643524,-111.9953751,6.610705065622786
p575946,35.78668495,-111.7743286,6.357626999813437
p647694,35.78718437,-93.11561706,8.090312140868821
p583355,35.78722004,-111.988847,6.807005116746229
p1037590,35.7880093,-105.5040923,6.852521289578667
p576768,35.7880093,-113.1703393,5.1687497267140605
p646615,35.78863358,-93.27348262,5.152942681061693
p1042790,35.78918205,-105.3853419,7.657290222799246
p1385812,35.78929352,-83.66500721,7.173009520763417
p574283,35.7895254,-109.1523727,8.864042835879335
p655867,35.78977511,-93.31612946,7.116912868080707
p1388891,35.79005603,-85.07373087,5.552042591584333
p646702,35.79107716,-93.42110116,9.357744905994162
p607782,35.79150078,-111.8913309,6.333115924008679
p581508,35.79189318,-109.3307189,9.129506182775561
p1027016,35.79245949,-105.7707733,5.307667045349575
p607238,35.79289648,-109.3884776,3.2558703431948994
p1379409,35.79414949,-84.76015797,8.320452715279593
p652656,35.79607582,-93.37432519,9.688972508765275
p1376081,35.79613824,-83.61340649,5.654915825199447
p997010,35.79684278,-80.1361549,7.009835389155149
p647935,35.79761421,-93.69638822,9.553196035386447
p649942,35.79769893,-93.47668385,8.707909554373742
p653479,35.7981493,-93.74483635,9.350702127942624
p954791,35.79903666,-75.76561159,7.940968844061056
p647937,35.79984376,-93.8465975,8.168216075617332
p100338,30.14373716,-84.80621156,6.623460437794034
p654019,35.80035655,-94.06309577,8.675442776199127
p955158,35.80076679,-79.45979399,2.622858877229043
p1459219,35.80186819,-95.07445556,6.339368050485125
p1388256,35.80270204,-84.6580936,5.9899706572159355
p648807,35.8035136,-92.5278362,4.790418902688813
p652769,35.80387478,-91.84493379,3.6714386643937664
p657103,35.80498064,-92.12055974,7.958486604139882
p1388288,35.80556924,-82.96590489,6.9841107624525725
p1388036,35.80634959,-86.61278068,6.431031509948516
p988402,35.80692927,-75.88544547,5.740904136092306
p1377746,35.80739747,-83.44435751,3.332086593861922
p1456371,35.80765164,-94.81275092,7.356203915726435
p652449,35.80828929,-94.22025233,7.5532070854996665
p989012,35.80886898,-82.81610585,5.757193314623395
p647047,35.80923017,-94.26427704,7.923995378734771
p1382598,35.80986336,-87.46873634,7.932760092436964
p610992,30.14485639,-90.60461254,4.159903860190031
p1527996,30.14517745,-98.84882598,11.188287246388079
p104635,30.14525325,-81.98831387,4.185663589460146
p1546604,30.14558769,-94.48410626,8.331159273892581
p578717,35.8100328,-111.7514043,7.085127440939339
p998549,35.81011753,-79.52933367,8.087328906954408
p1027981,35.81049209,-106.4527526,5.19137181533602
p646566,35.81067937,-94.43386111,7.536835304638792
p156945,35.81086666,-118.2192903,8.873198014510116
p1459208,35.81244518,-94.86632702,7.2192675747738395
p990812,35.8126503,-79.26163154,4.670873770663339
p1360787,35.81357779,-84.99149613,9.313200960555868
p1037025,35.81360454,-106.8145507,6.636925879906029
p996993,35.81404599,-76.65325808,8.371741486689622
p997136,35.81457217,-77.17839304,6.060863608757554
p995240,35.8148085,-82.89631616,3.766343646662651
p1376835,35.8149066,-84.8826138,7.46807597180634
p948608,35.81494673,-81.97440147,2.780328987356867
